syndrome_dec,syndrome_hex,syndrome_bin,flip_mask_bin,weight,indices
61440,0xF000,1111000000000000,111100000000000000000000000000000000000000000000,4,44;45;46;47
62265,0xF339,1111001100111001,000000000000000000000000000000000000000000001101,3,0;2;3
62351,0xF38F,1111001110001111,000000000000000000000000000000000001110000000000,3,10;11;12
62448,0xF3F0,1111001111110000,000000000000000000000000000000000000000000100000,1,5
62605,0xF48D,1111010010001101,000000000000000000000001000000000000000000000000,1,24
62656,0xF4C0,1111010011000000,000000000000000001110000000000000000000000000000,3,28;29;30
62744,0xF518,1111010100011000,000000000000000000000000000000000000000110000000,2,7;8
62881,0xF5A1,1111010110100001,000000000000000000000000000000000000000000001100,2,2;3
63278,0xF72E,1111011100101110,000000000000000000000000000000000000110100000000,3,8;10;11
63382,0xF796,1111011110010110,000000000000000000000000110000000000000000000000,2,22;23
63479,0xF7F7,1111011111110111,000000000000000000000000000000000000000010110000,3,4;5;7
63612,0xF87C,1111100001111100,000000000000000000000000000011000000000000000000,2,18;19
63654,0xF8A6,1111100010100110,000000000000000000000000000000000100100000000000,2,11;14
63809,0xF941,1111100101000001,000000000000000000000000000010000000000000000000,1,19
64092,0xFA5C,1111101001011100,000000000000000000000000000000000000000000001010,2,1;3
64212,0xFAD4,1111101011010100,000000000000000000000000000000011100000000000000,3,14;15;16
64318,0xFB3E,1111101100111110,000000000000000000000000000000010110000000000000,3,13;14;16
64708,0xFCC4,1111110011000100,000000000000000000000000000000000000000000001011,3,0;1;3
65186,0xFEA2,1111111010100010,000000000000000001111000000000000000000000000000,4,27;28;29;30
65201,0xFEB1,1111111010110001,000000000000000000000000000000000000001101000000,3,6;8;9
65263,0xFEEF,1111111011101111,000000000000000000001001000000000000000000000000,2,24;27
